epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,179.672,1.02006,0.5696,1.10948,0.86927,0.83793,0.89457,0.61378,1.14736,0.55835,1.26516,0.000151,0.000151,0.000151
42,183.874,1.0007,0.55036,1.13762,0.84897,0.84593,0.8925,0.60896,1.17108,0.57713,1.29794,0.000148525,0.000148525,0.000148525
43,188.403,0.99789,0.54383,1.15433,0.83253,0.854,0.89464,0.58822,1.27409,0.61025,1.39067,0.00014605,0.00014605,0.00014605
44,192.585,0.9797,0.5472,1.14059,0.87621,0.84958,0.89484,0.5958,1.22839,0.57577,1.33229,0.000143575,0.000143575,0.000143575
45,196.709,0.98119,0.52854,1.12664,0.84014,0.8527,0.89507,0.60049,1.197,0.57176,1.30551,0.0001411,0.0001411,0.0001411
46,201.262,0.97492,0.53153,1.12932,0.84131,0.87684,0.89495,0.60088,1.18389,0.55863,1.30313,0.000138625,0.000138625,0.000138625
47,205.375,0.99101,0.54949,1.13624,0.88792,0.87675,0.89659,0.58448,1.25981,0.56915,1.38259,0.00013615,0.00013615,0.00013615
48,209.581,0.96625,0.51846,1.13819,0.84142,0.89234,0.902,0.59087,1.24826,0.55865,1.34879,0.000133675,0.000133675,0.000133675
49,213.929,0.95387,0.54607,1.16206,0.87777,0.86868,0.90121,0.59382,1.21152,0.54356,1.30689,0.0001312,0.0001312,0.0001312
50,218.367,0.95931,0.54692,1.12585,0.87625,0.86752,0.89218,0.60228,1.18517,0.53844,1.28468,0.000128725,0.000128725,0.000128725
51,222.485,0.96415,0.50857,1.14293,0.85809,0.87027,0.89018,0.60101,1.16793,0.54407,1.28426,0.00012625,0.00012625,0.00012625
52,226.792,0.96585,0.51151,1.14579,0.84653,0.8834,0.89488,0.57618,1.28037,0.55652,1.39628,0.000123775,0.000123775,0.000123775
53,231.274,0.93246,0.49196,1.11779,0.86498,0.87928,0.89318,0.58071,1.24442,0.54389,1.35944,0.0001213,0.0001213,0.0001213
54,235.372,0.92694,0.52432,1.08979,0.86426,0.8852,0.89323,0.59217,1.18709,0.53239,1.30363,0.000118825,0.000118825,0.000118825
55,239.589,0.90835,0.4776,1.09389,0.87138,0.89036,0.89313,0.58454,1.20721,0.54315,1.30809,0.00011635,0.00011635,0.00011635
56,244.168,0.90792,0.47888,1.1164,0.87589,0.8871,0.88743,0.55678,1.35216,0.57168,1.42302,0.000113875,0.000113875,0.000113875
57,248.279,0.90635,0.5027,1.08033,0.87141,0.88217,0.88727,0.55917,1.36935,0.57764,1.44416,0.0001114,0.0001114,0.0001114
58,252.367,0.8842,0.48115,1.07552,0.86265,0.88941,0.8884,0.58753,1.26634,0.56211,1.36783,0.000108925,0.000108925,0.000108925
59,256.936,0.92603,0.49589,1.08608,0.86302,0.88444,0.89109,0.608,1.19056,0.55225,1.31329,0.00010645,0.00010645,0.00010645
60,261.107,0.90819,0.47802,1.09419,0.84826,0.87749,0.89526,0.61168,1.17372,0.54013,1.30561,0.000103975,0.000103975,0.000103975
61,265.229,0.88684,0.48513,1.0883,0.83912,0.88003,0.89422,0.61525,1.17406,0.53553,1.31597,0.0001015,0.0001015,0.0001015
62,269.608,0.85213,0.4622,1.08941,0.83784,0.89903,0.89896,0.61426,1.17875,0.52601,1.32158,9.9025e-05,9.9025e-05,9.9025e-05
63,273.983,0.88952,0.48316,1.09436,0.85401,0.87868,0.89602,0.60686,1.2043,0.52825,1.33185,9.655e-05,9.655e-05,9.655e-05
64,278.15,0.86815,0.48122,1.09973,0.85859,0.88923,0.89683,0.58786,1.30063,0.54558,1.42514,9.4075e-05,9.4075e-05,9.4075e-05
65,282.447,0.86232,0.46355,1.09174,0.8562,0.89054,0.89612,0.56238,1.41813,0.56778,1.5154,9.16e-05,9.16e-05,9.16e-05
66,286.899,0.85188,0.44469,1.05636,0.84257,0.88959,0.89555,0.5619,1.43099,0.57027,1.53291,8.9125e-05,8.9125e-05,8.9125e-05
67,291.033,0.86703,0.46636,1.10725,0.90229,0.86254,0.89488,0.58853,1.30839,0.54822,1.43539,8.665e-05,8.665e-05,8.665e-05
68,295.392,0.82021,0.43161,1.07133,0.89354,0.86311,0.89625,0.62653,1.17141,0.52297,1.31221,8.4175e-05,8.4175e-05,8.4175e-05
69,300.117,0.82984,0.44032,1.04716,0.88183,0.86416,0.89741,0.62551,1.17268,0.51517,1.31915,8.17e-05,8.17e-05,8.17e-05
70,304.255,0.82727,0.43296,1.0579,0.82738,0.89159,0.8994,0.6121,1.17642,0.50632,1.3397,7.9225e-05,7.9225e-05,7.9225e-05
71,308.501,0.80807,0.43998,1.06106,0.83827,0.88929,0.89902,0.61145,1.21096,0.51664,1.36173,7.675e-05,7.675e-05,7.675e-05
72,313.1,0.8039,0.4329,1.02102,0.8404,0.88823,0.89971,0.60136,1.24404,0.51793,1.38586,7.4275e-05,7.4275e-05,7.4275e-05
73,317.221,0.79013,0.42608,1.03947,0.83375,0.88844,0.90039,0.59775,1.25378,0.52234,1.40084,7.18e-05,7.18e-05,7.18e-05
74,321.311,0.80151,0.45753,1.07776,0.88788,0.86211,0.90107,0.59569,1.2556,0.52243,1.41236,6.9325e-05,6.9325e-05,6.9325e-05
75,325.887,0.78199,0.44692,1.03936,0.89137,0.861,0.90015,0.59071,1.25464,0.5238,1.40087,6.685e-05,6.685e-05,6.685e-05
76,330.087,0.81378,0.44839,1.05002,0.87168,0.86404,0.90006,0.59825,1.19879,0.51141,1.34277,6.4375e-05,6.4375e-05,6.4375e-05
77,334.276,0.79237,0.42885,1.04,0.85861,0.86578,0.89985,0.61344,1.17658,0.50677,1.32736,6.19e-05,6.19e-05,6.19e-05
78,338.778,0.75167,0.41473,1.05135,0.86,0.86638,0.90044,0.61468,1.17607,0.50654,1.33012,5.9425e-05,5.9425e-05,5.9425e-05
79,343.034,0.77291,0.43144,1.04339,0.8656,0.86554,0.89908,0.60582,1.20154,0.51012,1.35635,5.695e-05,5.695e-05,5.695e-05
80,347.218,0.75389,0.41853,1.03866,0.8365,0.88735,0.89784,0.59365,1.26512,0.5312,1.41456,5.4475e-05,5.4475e-05,5.4475e-05
81,351.645,0.74847,0.42807,1.01733,0.85629,0.88317,0.8929,0.58982,1.26095,0.53119,1.41433,5.2e-05,5.2e-05,5.2e-05
82,356.048,0.7644,0.4207,1.02414,0.86917,0.88084,0.89323,0.5964,1.23442,0.52673,1.39092,4.9525e-05,4.9525e-05,4.9525e-05
83,360.179,0.74284,0.42646,1.02603,0.87313,0.8802,0.89271,0.6003,1.22063,0.52064,1.38316,4.705e-05,4.705e-05,4.705e-05
84,364.54,0.70957,0.39435,1.00693,0.88068,0.87832,0.89393,0.60055,1.23397,0.51886,1.39866,4.4575e-05,4.4575e-05,4.4575e-05
85,369.051,0.71742,0.39979,1.00449,0.88391,0.87746,0.89379,0.59943,1.25356,0.52476,1.42404,4.21e-05,4.21e-05,4.21e-05
86,373.179,0.72322,0.39005,0.99256,0.88508,0.87738,0.89503,0.59442,1.25586,0.52547,1.43256,3.9625e-05,3.9625e-05,3.9625e-05
87,377.414,0.69389,0.38556,1.00793,0.88572,0.87759,0.89661,0.60266,1.24084,0.52266,1.42155,3.715e-05,3.715e-05,3.715e-05
88,382.048,0.70603,0.41546,1.00916,0.87936,0.87852,0.89516,0.59937,1.2329,0.52702,1.40876,3.4675e-05,3.4675e-05,3.4675e-05
89,386.18,0.71367,0.40233,1.00804,0.87751,0.87836,0.89418,0.59737,1.25561,0.53501,1.4283,3.22e-05,3.22e-05,3.22e-05
90,390.324,0.68992,0.40129,1.01969,0.87958,0.87745,0.89423,0.58312,1.27805,0.5371,1.44812,2.9725e-05,2.9725e-05,2.9725e-05
91,396.785,0.63427,0.31586,1.01285,0.88364,0.87615,0.89394,0.58323,1.29674,0.53331,1.46857,2.725e-05,2.725e-05,2.725e-05
92,400.945,0.61173,0.31093,0.99863,0.87524,0.87624,0.9006,0.58689,1.31291,0.53118,1.49554,2.4775e-05,2.4775e-05,2.4775e-05
93,405.183,0.60157,0.30999,1.02718,0.8702,0.87679,0.89988,0.58956,1.30516,0.5314,1.4924,2.23e-05,2.23e-05,2.23e-05
94,409.688,0.58331,0.28942,0.98681,0.86659,0.87729,0.90034,0.59622,1.28854,0.52527,1.48261,1.9825e-05,1.9825e-05,1.9825e-05
95,413.782,0.60167,0.30153,0.99929,0.86483,0.87765,0.89979,0.60594,1.26843,0.52118,1.47174,1.735e-05,1.735e-05,1.735e-05
96,417.943,0.59645,0.2976,1.02432,0.86103,0.87837,0.8985,0.61139,1.24028,0.51645,1.4535,1.4875e-05,1.4875e-05,1.4875e-05
97,422.384,0.57855,0.29388,1.00764,0.85874,0.87872,0.89795,0.6092,1.23285,0.51451,1.45084,1.24e-05,1.24e-05,1.24e-05
98,426.514,0.57726,0.28528,0.98502,0.85628,0.87897,0.89789,0.61097,1.22659,0.51535,1.44673,9.925e-06,9.925e-06,9.925e-06
99,430.656,0.58282,0.29021,0.98923,0.85522,0.87927,0.89799,0.61243,1.22287,0.5166,1.44412,7.45e-06,7.45e-06,7.45e-06
100,435.056,0.57213,0.29374,0.9981,0.85348,0.87962,0.89733,0.61111,1.22125,0.51692,1.44359,4.975e-06,4.975e-06,4.975e-06
