epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,953.262,0.73669,0.37396,0.91747,0.99935,1,0.995,0.86996,0.60233,0.29758,0.84426,0.0017096,0.0017096,0.0017096
46,974.555,0.74008,0.36927,0.91003,0.99944,1,0.995,0.84567,0.65337,0.28624,0.85146,0.001703,0.001703,0.001703
47,995.568,0.77406,0.38182,0.92187,1,0.9991,0.995,0.82217,0.71532,0.31592,0.87046,0.0016964,0.0016964,0.0016964
48,1015.83,0.78263,0.38934,0.92739,0.99942,1,0.995,0.82832,0.71582,0.30797,0.87395,0.0016898,0.0016898,0.0016898
49,1036.5,0.779,0.38353,0.92721,0.99942,1,0.995,0.80169,0.7634,0.32147,0.88112,0.0016832,0.0016832,0.0016832
50,1057.39,0.75337,0.38947,0.92378,0.99942,1,0.995,0.82553,0.75112,0.31651,0.87709,0.0016766,0.0016766,0.0016766
51,1078,0.778,0.38725,0.92052,0.99944,1,0.995,0.83021,0.69449,0.30015,0.86359,0.00167,0.00167,0.00167
52,1099.15,0.77837,0.39431,0.92476,0.99943,1,0.995,0.85863,0.64111,0.30126,0.85144,0.0016634,0.0016634,0.0016634
53,1119.67,0.76904,0.38474,0.92687,0.99935,1,0.995,0.82972,0.69991,0.30765,0.86652,0.0016568,0.0016568,0.0016568
54,1140.28,0.76109,0.38748,0.91815,0.99937,1,0.995,0.80314,0.74914,0.31903,0.88139,0.0016502,0.0016502,0.0016502
55,1160.8,0.76223,0.38482,0.91446,0.99933,1,0.995,0.84433,0.63889,0.31768,0.85465,0.0016436,0.0016436,0.0016436
56,1181.22,0.76565,0.37961,0.91403,0.99941,1,0.995,0.82916,0.74152,0.32455,0.87306,0.001637,0.001637,0.001637
57,1202.32,0.73988,0.38101,0.9198,0.99948,1,0.995,0.84449,0.70128,0.30082,0.868,0.0016304,0.0016304,0.0016304
58,1223.87,0.75866,0.38788,0.92267,0.99934,1,0.995,0.85592,0.65671,0.31305,0.85187,0.0016238,0.0016238,0.0016238
59,1244.78,0.72729,0.37488,0.91424,0.99868,1,0.995,0.8427,0.67931,0.30111,0.85704,0.0016172,0.0016172,0.0016172
60,1265.58,0.7467,0.38183,0.91594,0.99938,1,0.995,0.82333,0.73178,0.3094,0.86639,0.0016106,0.0016106,0.0016106
61,1286.52,0.72439,0.37276,0.9089,0.99939,1,0.995,0.78396,0.80449,0.34824,0.89411,0.001604,0.001604,0.001604
62,1307.68,0.73385,0.37734,0.90043,0.99768,1,0.995,0.79971,0.78457,0.30729,0.8801,0.0015974,0.0015974,0.0015974
63,1328.5,0.73204,0.36185,0.91643,0.99803,1,0.995,0.82816,0.67946,0.2967,0.85774,0.0015908,0.0015908,0.0015908
64,1349.45,0.73584,0.37012,0.9296,0.9992,1,0.995,0.81252,0.76893,0.30812,0.8803,0.0015842,0.0015842,0.0015842
65,1370.12,0.72889,0.37028,0.91585,0.99944,1,0.995,0.81609,0.76788,0.32729,0.87666,0.0015776,0.0015776,0.0015776
66,1391,0.70524,0.35532,0.90441,0.99947,1,0.995,0.82715,0.71156,0.30567,0.86996,0.001571,0.001571,0.001571
67,1411.92,0.75531,0.37646,0.91655,0.99921,1,0.995,0.84782,0.68147,0.30216,0.85932,0.0015644,0.0015644,0.0015644
68,1432.91,0.74412,0.37314,0.91933,0.99453,1,0.995,0.82349,0.69201,0.31846,0.8618,0.0015578,0.0015578,0.0015578
69,1453.69,0.75062,0.37878,0.92048,0.99934,1,0.995,0.81544,0.76979,0.31409,0.88134,0.0015512,0.0015512,0.0015512
70,1475.36,0.74908,0.37322,0.90711,0.99918,1,0.995,0.83458,0.68424,0.30527,0.85658,0.0015446,0.0015446,0.0015446
71,1496.97,0.75092,0.37689,0.9157,0.99945,1,0.995,0.84735,0.68298,0.29871,0.85851,0.001538,0.001538,0.001538
72,1518.09,0.71919,0.35855,0.90415,0.99937,1,0.995,0.84852,0.6818,0.28447,0.85629,0.0015314,0.0015314,0.0015314
73,1538.95,0.73808,0.36471,0.91216,0.99947,1,0.995,0.83025,0.76553,0.29838,0.8843,0.0015248,0.0015248,0.0015248
74,1559.71,0.72253,0.35514,0.90771,0.99943,1,0.995,0.83772,0.71876,0.29332,0.86844,0.0015182,0.0015182,0.0015182
75,1581.38,0.73087,0.35813,0.90847,0.99835,1,0.995,0.83468,0.69594,0.3048,0.86036,0.0015116,0.0015116,0.0015116
76,1602.62,0.73775,0.35501,0.90701,0.99565,1,0.995,0.84676,0.64152,0.27979,0.85466,0.001505,0.001505,0.001505
77,1623.59,0.73948,0.35718,0.92245,0.99927,1,0.995,0.84912,0.69526,0.29063,0.86382,0.0014984,0.0014984,0.0014984
78,1644.97,0.70951,0.35152,0.90747,0.99944,1,0.995,0.83899,0.71153,0.28254,0.86327,0.0014918,0.0014918,0.0014918
79,1665.76,0.73526,0.35238,0.91086,0.99944,1,0.995,0.85605,0.63429,0.27858,0.84654,0.0014852,0.0014852,0.0014852
80,1686.67,0.72736,0.34193,0.92048,0.99941,1,0.995,0.84744,0.67431,0.28196,0.858,0.0014786,0.0014786,0.0014786
81,1707.74,0.70039,0.34502,0.89869,0.99944,1,0.995,0.85156,0.71391,0.29725,0.86811,0.001472,0.001472,0.001472
82,1728.38,0.72755,0.349,0.91429,0.99936,1,0.995,0.85275,0.65723,0.28182,0.85477,0.0014654,0.0014654,0.0014654
83,1749.39,0.73619,0.35924,0.91873,0.99815,1,0.995,0.83262,0.67758,0.31427,0.85932,0.0014588,0.0014588,0.0014588
84,1770.29,0.7265,0.35584,0.90866,0.99937,1,0.995,0.8255,0.73727,0.29583,0.87357,0.0014522,0.0014522,0.0014522
85,1791.57,0.71567,0.34983,0.91147,0.99924,1,0.995,0.85225,0.64468,0.28536,0.85018,0.0014456,0.0014456,0.0014456
86,1812.84,0.71685,0.34498,0.91882,0.99904,1,0.995,0.82779,0.71896,0.29784,0.86664,0.001439,0.001439,0.001439
87,1834.11,0.71596,0.34765,0.92057,0.99943,1,0.995,0.82191,0.73557,0.29751,0.87091,0.0014324,0.0014324,0.0014324
88,1855.26,0.73149,0.35763,0.91535,0.9994,1,0.995,0.86228,0.62391,0.278,0.84612,0.0014258,0.0014258,0.0014258
89,1876.65,0.72369,0.35266,0.90544,0.9994,1,0.995,0.83556,0.69221,0.29755,0.85868,0.0014192,0.0014192,0.0014192
90,1897.83,0.71864,0.34858,0.90274,0.9997,1,0.995,0.83554,0.70783,0.2955,0.86404,0.0014126,0.0014126,0.0014126
91,1919.09,0.69031,0.33966,0.90007,0.99947,1,0.995,0.83269,0.68025,0.27622,0.86037,0.001406,0.001406,0.001406
92,1940.19,0.71958,0.35108,0.90874,0.99877,1,0.995,0.84172,0.67129,0.2948,0.85693,0.0013994,0.0013994,0.0013994
93,1961.57,0.74074,0.35653,0.90515,0.99945,1,0.995,0.82825,0.75983,0.3029,0.87844,0.0013928,0.0013928,0.0013928
94,1982.79,0.72969,0.35483,0.9075,0.99909,1,0.995,0.80928,0.75956,0.29515,0.87691,0.0013862,0.0013862,0.0013862
95,2003.63,0.71397,0.34532,0.905,0.99904,1,0.995,0.80068,0.75353,0.30638,0.87502,0.0013796,0.0013796,0.0013796
96,2024.43,0.72564,0.3435,0.90746,0.99937,1,0.995,0.83288,0.70933,0.28736,0.86302,0.001373,0.001373,0.001373
97,2045.54,0.71171,0.34183,0.90355,0.9978,1,0.995,0.82451,0.78493,0.29769,0.88875,0.0013664,0.0013664,0.0013664
98,2066.8,0.72423,0.34545,0.9123,0.99944,1,0.995,0.83636,0.71194,0.27976,0.86924,0.0013598,0.0013598,0.0013598
99,2087.5,0.71169,0.34376,0.90333,0.99946,1,0.995,0.83852,0.7065,0.29093,0.86978,0.0013532,0.0013532,0.0013532
100,2109.1,0.70612,0.33936,0.89409,0.9991,1,0.995,0.84568,0.66235,0.27953,0.85563,0.0013466,0.0013466,0.0013466
101,2129.92,0.70678,0.35274,0.91435,0.99944,1,0.995,0.81105,0.83411,0.33588,0.90076,0.00134,0.00134,0.00134
102,2150.62,0.71618,0.35302,0.90118,0.99941,1,0.995,0.82961,0.74926,0.30568,0.86812,0.0013334,0.0013334,0.0013334
103,2171.97,0.73335,0.34993,0.90856,0.99947,1,0.995,0.84561,0.69637,0.28807,0.86083,0.0013268,0.0013268,0.0013268
104,2193.14,0.71109,0.34823,0.90997,0.9993,1,0.995,0.83275,0.67677,0.292,0.85656,0.0013202,0.0013202,0.0013202
105,2213.95,0.70748,0.35092,0.90824,0.99938,1,0.995,0.82722,0.69155,0.28829,0.85971,0.0013136,0.0013136,0.0013136
106,2234.99,0.69199,0.33643,0.89993,0.99945,1,0.995,0.82719,0.71005,0.2865,0.86316,0.001307,0.001307,0.001307
107,2255.8,0.6968,0.33866,0.91244,0.99945,1,0.995,0.83838,0.72342,0.29601,0.86146,0.0013004,0.0013004,0.0013004
108,2276.6,0.72932,0.34528,0.90465,0.99944,1,0.995,0.82678,0.74775,0.30058,0.87128,0.0012938,0.0012938,0.0012938
109,2297.61,0.69313,0.34651,0.89788,0.99829,1,0.995,0.84941,0.67834,0.28458,0.85983,0.0012872,0.0012872,0.0012872
110,2318.75,0.7075,0.33978,0.90988,0.99934,1,0.995,0.84635,0.6645,0.27672,0.85743,0.0012806,0.0012806,0.0012806
111,2339.66,0.70898,0.35016,0.90858,0.99943,1,0.995,0.83508,0.68687,0.26939,0.86027,0.001274,0.001274,0.001274
112,2360.42,0.69992,0.33418,0.90972,0.99946,1,0.995,0.82588,0.70545,0.28155,0.86011,0.0012674,0.0012674,0.0012674
113,2380.92,0.69512,0.33437,0.91025,0.99845,1,0.995,0.8311,0.70007,0.28587,0.86293,0.0012608,0.0012608,0.0012608
114,2402.05,0.68722,0.3379,0.90348,0.99938,1,0.995,0.82078,0.69858,0.28244,0.86171,0.0012542,0.0012542,0.0012542
115,2422.69,0.68732,0.33781,0.90047,0.99947,1,0.995,0.83097,0.76867,0.31978,0.88346,0.0012476,0.0012476,0.0012476
116,2443.48,0.67772,0.32524,0.89291,0.99923,1,0.995,0.8646,0.60914,0.27764,0.83774,0.001241,0.001241,0.001241
117,2464.62,0.69955,0.33821,0.9053,0.99912,1,0.995,0.84493,0.69671,0.2855,0.85785,0.0012344,0.0012344,0.0012344
118,2485.56,0.68964,0.33698,0.89668,0.99912,1,0.995,0.8146,0.73538,0.28876,0.86709,0.0012278,0.0012278,0.0012278
